id	organism_name	kingdom	sequence_length	cleavage_site	validation_n	sp_type	transmembrane
Q86WA8	Homo sapiens	Metazoa	852		1	0	False
Q9FJV5	Arabidopsis thaliana	Viridiplantae	276		2	0	False
Q9QZA2	Rattus norvegicus	Metazoa	873		2	0	False
Q08963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238		2	0	False
P50440	Homo sapiens	Metazoa	423		1	0	False
Q04411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	772		5	0	False
Q80X86	Mus musculus	Metazoa	340		5	0	False
Q8T053	Drosophila melanogaster	Metazoa	434		3	0	False
P21951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2222		2	0	False
Q6Q547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	58		3	0	False
Q9BWT1	Homo sapiens	Metazoa	371		1	0	False
Q5XV40	Arabidopsis thaliana	Viridiplantae	358		2	0	True
Q14164	Homo sapiens	Metazoa	716		2	0	False
Q8MMZ7	Toxoplasma gondii	Other	994		4	0	False
Q08580	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376		4	0	False
G5EGK5	Caenorhabditis elegans	Metazoa	928		4	0	False
Q9EQ10	Rattus norvegicus	Metazoa	573		5	0	False
O82245	Arabidopsis thaliana	Viridiplantae	196		4	0	True
Q6PCT2	Homo sapiens	Metazoa	694		1	0	False
Q12321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		2	0	False
O80796	Arabidopsis thaliana	Viridiplantae	330		4	0	False
Q12090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	404		5	0	False
Q6EPN6	Oryza sativa subsp. japonica	Viridiplantae	222		4	0	False
Q9LG26	Arabidopsis thaliana	Viridiplantae	689		3	0	False
Q86TW2	Homo sapiens	Metazoa	530		1	0	False
P40491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155		5	0	False
Q8NB91	Homo sapiens	Metazoa	859		1	0	False
Q2WG80	Danio rerio	Metazoa	140		2	0	False
Q61827	Mus musculus	Metazoa	156		2	0	False
P10862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	487		2	0	False
Q9UTP3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	59		5	0	False
P41920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201		3	0	False
O20030	Chlamydomonas reinhardtii	Viridiplantae	197		5	0	True
P49454	Homo sapiens	Metazoa	3114		2	0	False
Q06493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	454		3	0	False
Q96CX2	Homo sapiens	Metazoa	325		4	0	False
Q6IR34	Mus musculus	Metazoa	673		3	0	False
Q96LD4	Homo sapiens	Metazoa	638		1	0	False
P04038	Bos taurus	Metazoa	74		5	0	True
Q8N5Y2	Homo sapiens	Metazoa	521		1	0	False
Q8IM30	Plasmodium falciparum (isolate 3D7)	Other	608		5	0	False
Q9W484	Drosophila melanogaster	Metazoa	985		3	0	False
O70337	Mus musculus	Metazoa	150		2	0	False
Q0ZLH2	Mus musculus	Metazoa	352		2	0	False
G5EEV2	Caenorhabditis elegans	Metazoa	4062		3	0	False
Q9H777	Homo sapiens	Metazoa	363		1	0	False
Q8BH86	Mus musculus	Metazoa	617		4	0	False
Q5EAW4	Xenopus laevis	Metazoa	860		5	0	False
P70331	Mus musculus	Metazoa	251		3	0	False
O21619	Ovis aries	Metazoa	261		5	0	True
Q9BY84	Homo sapiens	Metazoa	665		1	0	False
Q02794	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444		2	0	False
Q9BQL6	Homo sapiens	Metazoa	677		2	0	False
P91928	Drosophila melanogaster	Metazoa	739		3	0	True
Q8C4V4	Mus musculus	Metazoa	428		3	0	False
P38909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366		5	0	False
Q9USJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	218		5	0	False
Q4KLP8	Xenopus laevis	Metazoa	663		5	0	False
O22806	Arabidopsis thaliana	Viridiplantae	395		4	0	False
Q9C9B9	Arabidopsis thaliana	Viridiplantae	643		3	0	False
B3EWF7	Homo sapiens	Metazoa	344		4	0	False
P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442		2	0	False
Q34807	Wickerhamomyces canadensis	Fungi	231		5	0	False
O42958	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	754		5	0	False
F6TQD1	Mus musculus	Metazoa	307		3	0	False
O75340	Homo sapiens	Metazoa	191		2	0	False
Q01750	Rattus norvegicus	Metazoa	249		4	0	False
Q9BZV1	Homo sapiens	Metazoa	441		1	0	False
Q9BQ65	Homo sapiens	Metazoa	265		1	0	False
Q9GRZ3	Caenorhabditis elegans	Metazoa	1641		3	0	False
Q10262	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	131		5	0	False
Q9R1L5	Mus musculus	Metazoa	1570		4	0	False
P32500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	655		4	0	True
Q2EMV9	Mus musculus	Metazoa	1817		3	0	False
Q944N1	Solanum lycopersicum	Viridiplantae	399		5	0	False
P38300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278		5	0	False
Q9B6C8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	469		5	0	True
Q03218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	510		4	0	False
Q9ULJ3	Homo sapiens	Metazoa	1066		1	0	False
Q9QXN0	Mus musculus	Metazoa	1986		4	0	False
O54697	Rattus norvegicus	Metazoa	745		3	0	True
Q08816	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	343		3	0	False
Q9NPD3	Homo sapiens	Metazoa	245		2	0	False
Q9UTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	523		5	0	False
P40364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	252		5	0	False
Q9QZI7	Rattus norvegicus	Metazoa	287		5	0	False
Q9FGT8	Arabidopsis thaliana	Viridiplantae	186		3	0	False
Q9SII9	Arabidopsis thaliana	Viridiplantae	538		4	0	False
Q23238	Caenorhabditis elegans	Metazoa	893		2	0	False
Q91WE2	Mus musculus	Metazoa	254		5	0	False
Q38845	Arabidopsis thaliana	Viridiplantae	588		2	0	False
Q04377	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	747		3	0	False
O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613		4	0	False
Q53H12	Homo sapiens	Metazoa	422		1	0	False
P47108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1174		5	0	False
Q94165	Caenorhabditis elegans	Metazoa	256		2	0	False
Q8LLD0	Arabidopsis thaliana	Viridiplantae	1046		4	0	False
O60216	Homo sapiens	Metazoa	631		1	0	False
Q8IZF0	Homo sapiens	Metazoa	1738		1	0	True
O59676	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	359		4	0	False
Q9HDZ3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	182		5	0	False
P20134	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	766		2	0	False
P47988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759		4	0	False
C4R4G9	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	344		4	0	False
Q5W0Q7	Homo sapiens	Metazoa	1092		1	0	False
Q92361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	264		5	0	False
O74804	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490		4	0	False
Q8IYB3	Homo sapiens	Metazoa	904		1	0	False
Q8N3J3	Homo sapiens	Metazoa	647		1	0	False
Q8IUG5	Homo sapiens	Metazoa	2567		2	0	False
Q99M87	Mus musculus	Metazoa	480		2	0	False
Q9VWN4	Drosophila melanogaster	Metazoa	1150		2	0	False
P35241	Homo sapiens	Metazoa	583		2	0	False
P57088	Homo sapiens	Metazoa	247		2	0	True
P38175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		4	0	False
Q9VFW4	Drosophila melanogaster	Metazoa	251		3	0	False
P38838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	269		2	0	False
Q5BJM8	Rattus norvegicus	Metazoa	378		3	0	True
P49654	Rattus norvegicus	Metazoa	397		3	0	True
Q9UN81	Homo sapiens	Metazoa	338		2	0	False
P49815	Homo sapiens	Metazoa	1807		1	0	False
Q9SZ63	Arabidopsis thaliana	Viridiplantae	309		2	0	False
Q9LU93	Arabidopsis thaliana	Viridiplantae	209		4	0	False
Q05979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	453		3	0	False
F4JF14	Arabidopsis thaliana	Viridiplantae	953		4	0	False
Q9US07	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	662		5	0	False
P12686	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	339		4	0	False
P46783	Homo sapiens	Metazoa	165		1	0	False
Q9GZY4	Homo sapiens	Metazoa	146		4	0	True
O95278	Homo sapiens	Metazoa	331		1	0	False
P43246	Homo sapiens	Metazoa	934		1	0	False
P46655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		2	0	False
Q38AH0	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	370		4	0	False
Q80VQ0	Mus musculus	Metazoa	468		3	0	False
H2KYH4	Caenorhabditis elegans	Metazoa	392		2	0	False
Q01163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	450		4	0	False
Q45VK7	Mus musculus	Metazoa	4306		4	0	False
Q9NZB2	Homo sapiens	Metazoa	1118		1	0	False
Q05636	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		3	0	False
Q08235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		3	0	False
Q9LW29	Arabidopsis thaliana	Viridiplantae	575		2	0	False
P0CJ62	Xenopus laevis	Metazoa	239		4	0	False
P43572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	832		3	0	False
Q08365	Chlamydomonas reinhardtii	Viridiplantae	712		5	0	False
Q96I59	Homo sapiens	Metazoa	477		1	0	False
P36631	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468		4	0	False
G5EG17	Caenorhabditis elegans	Metazoa	1149		3	0	False
Q9CUU3	Mus musculus	Metazoa	1500		3	0	False
P54654	Dictyostelium discoideum	Other	464		3	0	False
P21651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	314		3	0	False
P80483	Amphidinium carterae	Other	323		5	0	False
Q03937	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		4	0	False
Q8VHL0	Mus musculus	Metazoa	384		3	0	True
Q99732	Homo sapiens	Metazoa	161		2	0	False
Q96RL1	Homo sapiens	Metazoa	719		1	0	False
Q42736	Flaveria pringlei	Viridiplantae	956		4	0	False
Q8GV05	Arabidopsis thaliana	Viridiplantae	106		2	0	False
Q99J99	Mus musculus	Metazoa	297		2	0	False
Q9LK57	Arabidopsis thaliana	Viridiplantae	394		5	0	False
Q6T4R5	Homo sapiens	Metazoa	1651		2	0	False
Q7Z7F0	Homo sapiens	Metazoa	614		1	0	False
O60287	Homo sapiens	Metazoa	2271		5	0	False
Q92759	Homo sapiens	Metazoa	462		1	0	False
Q02892	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		3	0	False
P82611	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	777		5	0	False
O80832	Arabidopsis thaliana	Viridiplantae	410		5	0	False
Q3U827	Mus musculus	Metazoa	592		4	0	False
P08580	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	107		5	0	False
P23508	Homo sapiens	Metazoa	829		1	0	False
F4IHY7	Arabidopsis thaliana	Viridiplantae	527		2	0	False
Q92565	Homo sapiens	Metazoa	580		1	0	False
P34909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		2	0	False
O46411	Bos taurus	Metazoa	560		2	0	False
P47148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		5	0	False
Q9SV15	Arabidopsis thaliana	Viridiplantae	325		2	0	False
Q10067	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	690		5	0	False
P80470	Spinacia oleracea	Viridiplantae	199		4	0	False
Q8N2I9	Homo sapiens	Metazoa	435		1	0	False
Q12333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		3	0	True
Q9V3H8	Drosophila melanogaster	Metazoa	133		3	0	False
Q94234	Caenorhabditis elegans	Metazoa	204		3	0	False
P38710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		3	0	False
Q12345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		4	0	False
A0A0D1DMJ6	Mycosarcoma maydis	Fungi	757		5	0	False
O15360	Homo sapiens	Metazoa	1455		1	0	False
Q01649	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		4	0	False
Q9NZH6	Homo sapiens	Metazoa	218		1	0	False
Q9R0N6	Mus musculus	Metazoa	395		4	0	True
Q9V452	Drosophila melanogaster	Metazoa	140		4	0	False
Q4ADV7	Homo sapiens	Metazoa	1423		1	0	False
D3J162	Medicago truncatula	Viridiplantae	541		4	0	False
O00257	Homo sapiens	Metazoa	560		1	0	False
Q4VC44	Homo sapiens	Metazoa	716		1	0	False
P37090	Rattus norvegicus	Metazoa	638		4	0	True
Q5AL36	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	269		4	0	False
Q99288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		5	0	False
Q60817	Mus musculus	Metazoa	215		3	0	False
P56780	Arabidopsis thaliana	Viridiplantae	73		3	0	True
P29509	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		2	0	False
P51959	Homo sapiens	Metazoa	295		1	0	False
Q9NTZ6	Homo sapiens	Metazoa	932		4	0	False
Q9D030	Mus musculus	Metazoa	160		3	0	False
P14866	Homo sapiens	Metazoa	589		1	0	False
Q38893	Arabidopsis thaliana	Viridiplantae	558		2	0	False
O36024	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	280		5	0	False
Q9S758	Arabidopsis thaliana	Viridiplantae	181		4	0	False
A9JRD8	Danio rerio	Metazoa	540		4	0	False
Q3T9M1	Mus musculus	Metazoa	494		3	0	False
Q96LI6	Homo sapiens	Metazoa	401		1	0	False
P20290	Homo sapiens	Metazoa	206		1	0	False
Q6PDY0	Mus musculus	Metazoa	202		2	0	False
P23506	Mus musculus	Metazoa	227		2	0	False
Q80ZQ9	Mus musculus	Metazoa	193		4	0	False
Q9BZF1	Homo sapiens	Metazoa	889		2	0	False
F4I718	Arabidopsis thaliana	Viridiplantae	2136		3	0	False
O60239	Homo sapiens	Metazoa	455		1	0	False
W8JWV8	Catharanthus roseus	Viridiplantae	378		3	0	False
Q923B3	Mus musculus	Metazoa	828		3	0	False
Q6I621	Oryza sativa subsp. japonica	Viridiplantae	510		2	0	False
Q8C624	Mus musculus	Metazoa	132		1	0	False
O14079	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	624		4	0	False
Q9LTY1	Arabidopsis thaliana	Viridiplantae	726		5	0	False
Q6ZVD7	Homo sapiens	Metazoa	989		2	0	False
Q12955	Homo sapiens	Metazoa	4377		2	0	False
P53292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		5	0	False
F4I902	Arabidopsis thaliana	Viridiplantae	420		4	0	False
Q9H9P8	Homo sapiens	Metazoa	463		1	0	False
Q7Y1W1	Arabidopsis thaliana	Viridiplantae	527		4	0	False
Q6P6J4	Mus musculus	Metazoa	239		3	0	False
P48437	Mus musculus	Metazoa	737		2	0	False
Q12143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		5	0	False
Q5TGZ0	Homo sapiens	Metazoa	78		1	0	True
Q08931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		4	0	False
Q9NYY8	Homo sapiens	Metazoa	710		1	0	False
Q99K24	Mus musculus	Metazoa	317		3	0	True
Q9FJH5	Arabidopsis thaliana	Viridiplantae	283		3	0	False
Q9JHR9	Mus musculus	Metazoa	270		2	0	False
P40993	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	198		3	0	False
Q80T11	Mus musculus	Metazoa	461		2	0	False
Q08977	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551		5	0	False
Q90ZN1	Gallus gallus	Metazoa	177		5	0	True
P51662	Oryctolagus cuniculus	Metazoa	346		4	0	False
Q8WVM0	Homo sapiens	Metazoa	346		1	0	False
P38283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	698		4	0	False
Q9NUQ9	Homo sapiens	Metazoa	324		1	0	False
Q8N3I7	Homo sapiens	Metazoa	341		2	0	False
P42838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		3	0	True
Q96GR2	Homo sapiens	Metazoa	724		1	0	False
Q60676	Mus musculus	Metazoa	499		3	0	False
Q5EAJ7	Strongylocentrotus purpuratus	Metazoa	857		5	0	False
Q8NDD1	Homo sapiens	Metazoa	293		1	0	False
Q9Y3C4	Homo sapiens	Metazoa	175		1	0	False
Q26635	Sarcophaga peregrina	Metazoa	354		5	0	False
P60323	Homo sapiens	Metazoa	173		1	0	False
Q91VD9	Mus musculus	Metazoa	727		3	0	False
Q5SWZ9	Mus musculus	Metazoa	221		2	0	True
Q8JFY9	Xenopus laevis	Metazoa	292		4	0	False
P17890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251		2	0	False
F4K3G5	Arabidopsis thaliana	Viridiplantae	1297		2	0	False
Q12368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	194		5	0	False
Q94JV5	Arabidopsis thaliana	Viridiplantae	307		2	0	False
Q9ESK9	Mus musculus	Metazoa	1588		2	0	False
O65220	Arabidopsis thaliana	Viridiplantae	281		4	0	False
P38257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691		2	0	False
A9LNK9	Arabidopsis thaliana	Viridiplantae	631		3	0	False
Q76FK4	Homo sapiens	Metazoa	1167		1	0	False
Q02080	Homo sapiens	Metazoa	365		1	0	False
Q06449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215		3	0	False
Q8K337	Mus musculus	Metazoa	993		3	0	False
O00625	Homo sapiens	Metazoa	290		1	0	False
Q9NRN9	Homo sapiens	Metazoa	209		2	0	False
Q9Y244	Homo sapiens	Metazoa	141		1	0	False
P17119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	729		4	0	False
Q7SHR6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	344		5	0	False
Q10154	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		5	0	False
Q10B19	Oryza sativa subsp. japonica	Viridiplantae	250		3	0	False
Q9D5U8	Mus musculus	Metazoa	673		4	0	False
Q9D6J6	Mus musculus	Metazoa	248		3	0	False
P0DW10	Neurospora crassa	Fungi	244		5	0	False
Q9CQT7	Mus musculus	Metazoa	168		3	0	False
Q8CG64	Mus musculus	Metazoa	494		4	0	True
Q9H9P5	Homo sapiens	Metazoa	680		1	0	False
Q8R2H7	Rattus norvegicus	Metazoa	913		2	0	False
O14284	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188		5	0	False
P80269	Solanum tuberosum	Viridiplantae	229		4	0	False
Q01892	Homo sapiens	Metazoa	262		1	0	False
Q09750	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1522		4	0	False
A0A161CFW5	Trypanosoma brucei brucei	Other	305		5	0	False
Q05344	Drosophila melanogaster	Metazoa	723		3	0	False
P43565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1770		3	0	False
P40897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	799		5	0	False
P84086	Mus musculus	Metazoa	134		2	0	False
A4D126	Homo sapiens	Metazoa	451		1	0	False
Q06707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	132		4	0	False
P08740	Chlamydomonas reinhardtii	Viridiplantae	382		5	0	True
Q67ZB6	Arabidopsis thaliana	Viridiplantae	462		2	0	False
Q95QD7	Caenorhabditis elegans	Metazoa	435		3	0	False
P17898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	393		3	0	True
Q9ZPQ3	Arabidopsis thaliana	Viridiplantae	317		4	0	False
Q8BWY7	Mus musculus	Metazoa	342		2	0	True
P53810	Mus musculus	Metazoa	271		3	0	False
A4FUC0	Bos taurus	Metazoa	423		5	0	False
Q9Z1A5	Rattus norvegicus	Metazoa	534		3	0	False
B2AFA8	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	Fungi	775		5	0	False
P23724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	241		3	0	False
Q9VLP7	Drosophila melanogaster	Metazoa	397		2	0	False
P63072	Mus musculus	Metazoa	162		3	0	False
Q9Z2Q2	Mus musculus	Metazoa	478		5	0	False
G5EG51	Caenorhabditis elegans	Metazoa	1270		5	0	False
Q12277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265		3	0	False
Q70EL3	Homo sapiens	Metazoa	339		2	0	False
Q9UUG9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1339		4	0	False
Q9DCD5	Mus musculus	Metazoa	549		4	0	False
Q8BKA3	Mus musculus	Metazoa	608		2	0	False
Q96AQ6	Homo sapiens	Metazoa	731		1	0	False
P29344	Spinacia oleracea	Viridiplantae	411		5	0	False
B6VQ60	Caenorhabditis elegans	Metazoa	612		3	0	False
P38271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	328		3	0	False
B4FUP5	Zea mays	Viridiplantae	253		5	0	False
P38170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	754		3	0	False
Q9SL92	Arabidopsis thaliana	Viridiplantae	367		2	0	False
O59740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	522		4	0	False
Q9VKM1	Drosophila melanogaster	Metazoa	843		3	0	False
Q9BV86	Homo sapiens	Metazoa	223		1	0	False
O62683	Canis lupus familiaris	Metazoa	898		4	0	False
Q08913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375		5	0	True
Q9BZC1	Homo sapiens	Metazoa	486		1	0	False
F4JT76	Arabidopsis thaliana	Viridiplantae	1034		4	0	False
Q8R4T1	Mus musculus	Metazoa	145		4	0	False
Q9Y6N1	Homo sapiens	Metazoa	276		1	0	False
P92204	Drosophila melanogaster	Metazoa	280		3	0	False
P04840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		3	0	False
O94667	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	560		5	0	False
P08518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1224		2	0	False
Q04264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1277		3	0	False
P0DO12	Arabidopsis thaliana	Viridiplantae	126		4	0	False
O14464	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	93		4	0	False
P00973	Homo sapiens	Metazoa	400		1	0	False
Q9HD15	Homo sapiens	Metazoa	224		1	0	False
Q9SCJ9	Arabidopsis thaliana	Viridiplantae	1067		2	0	False
Q99LW6	Mus musculus	Metazoa	179		4	0	False
Q9D8H7	Mus musculus	Metazoa	521		3	0	False
Q68D91	Homo sapiens	Metazoa	279		2	0	False
P40368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	713		4	0	False
P25087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		2	0	False
Q9BRD0	Homo sapiens	Metazoa	619		1	0	False
P40473	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351		4	0	False
O74429	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	920		4	0	False
Q9P0R6	Homo sapiens	Metazoa	139		1	0	False
Q920Q0	Rattus norvegicus	Metazoa	383		4	0	False
P39707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275		2	0	False
Q1MTS0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	597		5	0	False
P06746	Homo sapiens	Metazoa	335		1	0	False
P17558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318		5	0	False
Q9HFF5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		4	0	False
Q6R3K9	Arabidopsis thaliana	Viridiplantae	664		5	0	True
Q9U7D5	Caenorhabditis elegans	Metazoa	611		3	0	True
Q9GZM5	Homo sapiens	Metazoa	350		2	0	False
Q9H6K1	Homo sapiens	Metazoa	298		1	0	False
Q95QW4	Caenorhabditis elegans	Metazoa	561		3	0	False
O43818	Homo sapiens	Metazoa	475		1	0	False
Q6W5P4	Homo sapiens	Metazoa	371		1	0	True
O49621	Arabidopsis thaliana	Viridiplantae	526		5	0	True
Q14978	Homo sapiens	Metazoa	699		1	0	False
Q04867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	317		5	0	False
Q13057	Homo sapiens	Metazoa	564		1	0	False
Q15714	Homo sapiens	Metazoa	1073		1	0	False
Q9H3L0	Homo sapiens	Metazoa	296		1	0	False
Q8TAX9	Homo sapiens	Metazoa	416		1	0	False
Q8S4F6	Arabidopsis thaliana	Viridiplantae	510		3	0	False
Q8WYQ3	Homo sapiens	Metazoa	142		1	0	False
Q5M729	Arabidopsis thaliana	Viridiplantae	539		4	0	False
Q8GSJ6	Arabidopsis thaliana	Viridiplantae	154		4	0	True
Q8S9G8	Arabidopsis thaliana	Viridiplantae	801		3	0	False
Q9UT03	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	677		5	0	False
P40085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556		4	0	True
Q42545	Arabidopsis thaliana	Viridiplantae	433		4	0	False
F2Z699	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	582		5	0	False
Q99LD8	Mus musculus	Metazoa	285		4	0	False
Q8R0W0	Mus musculus	Metazoa	6548		4	0	False
Q12340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	786		5	0	False
Q5M731	Arabidopsis thaliana	Viridiplantae	522		2	0	False
A0FGR9	Homo sapiens	Metazoa	886		2	0	True
Q4FZC9	Mus musculus	Metazoa	975		4	0	False
P38803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		2	0	False
Q94C32	Arabidopsis thaliana	Viridiplantae	320		2	0	False
P08970	Drosophila melanogaster	Metazoa	941		3	0	False
P41005	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	101		5	0	False
P32318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		3	0	False
Q09842	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	407		5	0	False
Q8LGD5	Arabidopsis thaliana	Viridiplantae	222		4	0	False
F4IHS2	Arabidopsis thaliana	Viridiplantae	3574		3	0	False
